epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5907,1.24593,4.07643,1.39991,0.03795,0.68605,0.06573,0.04174,1.0327,3.64383,1.08487,0.000121948,0.000121948,0.000121948
2,38.1272,1.12303,3.59397,1.30559,0.45955,0.16455,0.16738,0.10647,1.18434,3.05987,1.229,0.000243662,0.000243662,0.000243662
3,52.6448,1.18421,3.1027,1.36711,0.29549,0.29968,0.22573,0.1468,1.1524,2.71086,1.2141,0.000363749,0.000363749,0.000363749
4,67.3778,1.19862,2.76937,1.38018,0.16113,0.46965,0.24436,0.15758,1.19896,2.56769,1.32547,0.000362674,0.000362674,0.000362674
5,82.4048,1.16006,2.54017,1.36857,0.25757,0.43227,0.31453,0.21473,1.12627,2.25103,1.27821,0.000360232,0.000360232,0.000360232
6,97.761,1.16621,2.38959,1.36544,0.40923,0.38311,0.37639,0.26084,1.07522,2.14287,1.18127,0.00035779,0.00035779,0.00035779
7,112.65,1.117,2.25935,1.34188,0.30351,0.52967,0.41158,0.27444,1.13463,2.08316,1.26466,0.000355348,0.000355348,0.000355348
8,127.648,1.11051,2.15046,1.33765,0.3996,0.50625,0.47969,0.32436,1.0856,1.97921,1.2634,0.000352906,0.000352906,0.000352906
9,143.054,1.07692,2.07646,1.32101,0.44825,0.50813,0.48713,0.33434,1.0175,1.93683,1.22002,0.000350464,0.000350464,0.000350464
10,157.222,1.06876,1.99427,1.30344,0.41962,0.58193,0.50556,0.34862,1.07797,1.83889,1.27346,0.000348022,0.000348022,0.000348022
11,171.231,1.04298,1.95659,1.30188,0.475,0.52503,0.52856,0.36948,1.01957,1.91372,1.24471,0.00034558,0.00034558,0.00034558
12,186.382,1.04782,1.89438,1.30481,0.52304,0.56055,0.57186,0.4168,0.97002,1.63044,1.15447,0.000343138,0.000343138,0.000343138
13,200.207,1.01421,1.82954,1.27733,0.50035,0.64368,0.59625,0.42905,0.97974,1.61185,1.18652,0.000340696,0.000340696,0.000340696
14,214.918,0.99828,1.75578,1.27363,0.57983,0.63129,0.61938,0.43807,1.03019,1.59878,1.22668,0.000338254,0.000338254,0.000338254
15,229.147,1.02617,1.79099,1.29399,0.54244,0.62874,0.64695,0.47091,0.95911,1.49224,1.18218,0.000335812,0.000335812,0.000335812
16,243.239,0.99494,1.73616,1.27942,0.58769,0.64899,0.67021,0.48908,0.95497,1.44275,1.21707,0.00033337,0.00033337,0.00033337
17,257.62,1.00125,1.72005,1.27795,0.58288,0.58307,0.62145,0.44766,1.0579,1.64208,1.19724,0.000330928,0.000330928,0.000330928
18,272.249,0.97549,1.63655,1.25834,0.54063,0.7166,0.67666,0.49148,0.96721,1.42202,1.15983,0.000328486,0.000328486,0.000328486
19,286.63,0.97658,1.64078,1.26571,0.66907,0.61092,0.67335,0.49225,0.92653,1.46159,1.21576,0.000326044,0.000326044,0.000326044
20,300.826,0.97345,1.61392,1.26664,0.61992,0.67924,0.70092,0.5111,0.98214,1.46271,1.17685,0.000323602,0.000323602,0.000323602
21,315.309,0.97164,1.60154,1.25868,0.65758,0.61815,0.67794,0.49492,0.95532,1.51004,1.16049,0.00032116,0.00032116,0.00032116
22,329.268,0.94399,1.54014,1.24162,0.61149,0.73611,0.73667,0.54121,0.92039,1.32032,1.1993,0.000318718,0.000318718,0.000318718
23,344.265,0.96408,1.50688,1.25819,0.58864,0.6924,0.72415,0.53413,0.92469,1.31299,1.16495,0.000316276,0.000316276,0.000316276
24,357.584,0.93323,1.49354,1.23377,0.63616,0.69099,0.73556,0.54495,0.88001,1.29731,1.15427,0.000313834,0.000313834,0.000313834
25,371.88,0.94269,1.47381,1.23585,0.67352,0.70509,0.73021,0.54135,0.90231,1.32019,1.17199,0.000311392,0.000311392,0.000311392
26,387.217,0.9267,1.45826,1.2301,0.67629,0.73052,0.76332,0.58012,0.87734,1.26592,1.13055,0.00030895,0.00030895,0.00030895
27,402.163,0.90525,1.41399,1.22462,0.67643,0.75678,0.77879,0.58811,0.85811,1.16737,1.10879,0.000306508,0.000306508,0.000306508
28,416.407,0.93859,1.43926,1.23507,0.70002,0.75423,0.78706,0.58685,0.90712,1.16771,1.13552,0.000304066,0.000304066,0.000304066
29,431.563,0.92342,1.39984,1.23093,0.72237,0.73434,0.78069,0.57537,0.92877,1.20936,1.2012,0.000301624,0.000301624,0.000301624
30,447.045,0.9291,1.37232,1.23322,0.66066,0.77573,0.78212,0.59143,0.87324,1.17719,1.15751,0.000299182,0.000299182,0.000299182
31,461.82,0.91995,1.36205,1.22779,0.69352,0.76539,0.78428,0.59119,0.85489,1.15534,1.10761,0.00029674,0.00029674,0.00029674
32,476.338,0.89944,1.33018,1.21977,0.6475,0.76557,0.77946,0.59172,0.90602,1.16394,1.17576,0.000294298,0.000294298,0.000294298
33,489.894,0.90139,1.34329,1.22158,0.77696,0.75266,0.82339,0.62715,0.89389,1.07191,1.14017,0.000291856,0.000291856,0.000291856
34,504.018,0.88242,1.3261,1.20242,0.77691,0.74363,0.81694,0.62456,0.86542,1.05192,1.12674,0.000289414,0.000289414,0.000289414
35,519.066,0.87831,1.28229,1.21166,0.8175,0.74217,0.85496,0.65516,0.84653,1.03777,1.06598,0.000286972,0.000286972,0.000286972
36,532.788,0.89174,1.30395,1.21591,0.72186,0.78702,0.82168,0.62697,0.85685,1.07768,1.10845,0.00028453,0.00028453,0.00028453
37,546.76,0.90282,1.29311,1.21635,0.7614,0.77434,0.80755,0.61794,0.8561,1.08257,1.11739,0.000282088,0.000282088,0.000282088
38,561.277,0.85689,1.26218,1.19555,0.8161,0.71506,0.83032,0.63054,0.83847,1.0399,1.1282,0.000279646,0.000279646,0.000279646
39,575.718,0.87753,1.24699,1.20839,0.78837,0.78792,0.85428,0.66555,0.83834,0.97785,1.09395,0.000277204,0.000277204,0.000277204
40,590.642,0.85763,1.22701,1.20163,0.76251,0.82958,0.88097,0.6768,0.82333,0.95373,1.10674,0.000274762,0.000274762,0.000274762
41,603.914,0.87527,1.25227,1.20536,0.70806,0.78007,0.80887,0.61139,0.87205,1.05384,1.08681,0.00027232,0.00027232,0.00027232
42,618.609,0.84747,1.20008,1.1919,0.77012,0.82175,0.86014,0.65373,0.85649,0.97146,1.09195,0.000269878,0.000269878,0.000269878
43,633.296,0.85174,1.18888,1.18662,0.83176,0.77327,0.86744,0.65985,0.84223,0.9577,1.11789,0.000267436,0.000267436,0.000267436
44,648.783,0.85846,1.14738,1.19346,0.78133,0.80113,0.85778,0.64802,0.85896,0.96181,1.11227,0.000264994,0.000264994,0.000264994
45,663.841,0.86924,1.17157,1.19599,0.82181,0.7989,0.85474,0.66418,0.82473,0.91698,1.0799,0.000262552,0.000262552,0.000262552
46,678.578,0.8511,1.14666,1.18562,0.80671,0.80418,0.86493,0.65865,0.83623,0.9457,1.09239,0.00026011,0.00026011,0.00026011
47,693.023,0.8478,1.13896,1.18611,0.82972,0.78637,0.87683,0.67302,0.83384,0.89203,1.08721,0.000257668,0.000257668,0.000257668
48,707.322,0.8293,1.12103,1.18229,0.79139,0.83959,0.86472,0.66016,0.82891,0.91675,1.09832,0.000255226,0.000255226,0.000255226
49,721.453,0.83395,1.15788,1.188,0.79656,0.82305,0.87938,0.67325,0.8375,0.90677,1.11272,0.000252784,0.000252784,0.000252784
50,735.605,0.83357,1.12442,1.17566,0.8419,0.84676,0.90402,0.70834,0.81752,0.83949,1.07277,0.000250342,0.000250342,0.000250342
51,750.136,0.81231,1.0989,1.16449,0.81024,0.85029,0.89536,0.69889,0.80619,0.85576,1.07304,0.0002479,0.0002479,0.0002479
52,765.586,0.84027,1.10388,1.18525,0.88317,0.81233,0.89416,0.69147,0.84515,0.89137,1.07571,0.000245458,0.000245458,0.000245458
53,780.941,0.80266,1.07181,1.17015,0.79676,0.86432,0.88743,0.68587,0.83956,0.87075,1.12197,0.000243016,0.000243016,0.000243016
54,796.732,0.82256,1.06805,1.1692,0.83908,0.78711,0.87059,0.67373,0.83516,0.88373,1.12094,0.000240574,0.000240574,0.000240574
55,811.794,0.80898,1.0931,1.16207,0.89014,0.80006,0.89788,0.69567,0.87514,0.83476,1.10373,0.000238132,0.000238132,0.000238132
56,827.491,0.81279,1.05257,1.16876,0.8663,0.83944,0.91193,0.70543,0.8236,0.83568,1.10205,0.00023569,0.00023569,0.00023569
57,842.566,0.80919,1.05993,1.16357,0.86258,0.79555,0.88519,0.70057,0.79894,0.8297,1.08763,0.000233248,0.000233248,0.000233248
58,858.197,0.80522,1.03098,1.16075,0.85828,0.85984,0.90889,0.71064,0.7924,0.82181,1.06847,0.000230806,0.000230806,0.000230806
59,873.373,0.79952,1.02051,1.16424,0.83372,0.85481,0.90038,0.70663,0.7857,0.81293,1.04177,0.000228364,0.000228364,0.000228364
60,888.3,0.78302,1.01685,1.15441,0.89162,0.84356,0.91789,0.71368,0.82117,0.78832,1.09479,0.000225922,0.000225922,0.000225922
61,903.653,0.78587,0.98736,1.15171,0.86514,0.84287,0.90811,0.69829,0.82081,0.80426,1.11597,0.00022348,0.00022348,0.00022348
62,919.165,0.77828,1.0116,1.14939,0.82203,0.8646,0.89566,0.70065,0.81193,0.83131,1.06394,0.000221038,0.000221038,0.000221038
63,935.038,0.79859,1.01339,1.1544,0.87593,0.8408,0.91455,0.71593,0.79457,0.7878,1.06057,0.000218596,0.000218596,0.000218596
64,950.615,0.79571,1.0106,1.15708,0.85184,0.84006,0.90652,0.69985,0.79441,0.81449,1.05851,0.000216154,0.000216154,0.000216154
65,966.548,0.78387,1.00051,1.1462,0.88792,0.88759,0.9396,0.73581,0.76118,0.74343,1.01512,0.000213712,0.000213712,0.000213712
66,979.509,0.78068,0.96273,1.1414,0.89723,0.84064,0.93354,0.7243,0.80546,0.79574,1.04514,0.00021127,0.00021127,0.00021127
67,991.793,0.77604,0.98777,1.13906,0.86273,0.88471,0.93609,0.74359,0.7707,0.72097,1.05345,0.000208828,0.000208828,0.000208828
68,1004.7,0.77082,0.97807,1.14743,0.86863,0.86328,0.92667,0.72907,0.79535,0.7435,1.06691,0.000206386,0.000206386,0.000206386
69,1020.3,0.78048,0.9597,1.15265,0.88987,0.87913,0.93264,0.73104,0.77026,0.72114,1.03366,0.000203944,0.000203944,0.000203944
70,1033.75,0.75978,0.9637,1.13737,0.85415,0.90504,0.92618,0.71683,0.79835,0.74656,1.06921,0.000201502,0.000201502,0.000201502
71,1046.38,0.77529,0.94858,1.15287,0.89528,0.87892,0.94231,0.74427,0.76652,0.6828,1.02836,0.00019906,0.00019906,0.00019906
72,1059.73,0.76675,0.93886,1.13538,0.91501,0.87699,0.94225,0.74269,0.76349,0.67501,1.04249,0.000196618,0.000196618,0.000196618
73,1075.13,0.78353,0.9499,1.14822,0.90165,0.88088,0.93602,0.72754,0.80852,0.69142,1.05554,0.000194176,0.000194176,0.000194176
74,1090.1,0.75672,0.93498,1.13304,0.89692,0.85654,0.92939,0.72293,0.78502,0.72921,1.06294,0.000191734,0.000191734,0.000191734
75,1104.84,0.75231,0.89679,1.13003,0.90583,0.87009,0.93918,0.72797,0.80249,0.69984,1.0686,0.000189292,0.000189292,0.000189292
76,1119.17,0.75157,0.91329,1.13588,0.87231,0.89141,0.93783,0.74537,0.77224,0.70395,1.03,0.00018685,0.00018685,0.00018685
77,1133.94,0.74101,0.90585,1.12115,0.90946,0.88332,0.94128,0.74466,0.76568,0.69057,1.0355,0.000184408,0.000184408,0.000184408
78,1147.98,0.7517,0.9102,1.1285,0.89298,0.88342,0.93461,0.73527,0.78309,0.69063,1.05044,0.000181966,0.000181966,0.000181966
79,1162.33,0.74323,0.90433,1.12896,0.92893,0.8636,0.94622,0.74877,0.78864,0.6665,1.05064,0.000179524,0.000179524,0.000179524
80,1178.17,0.74709,0.87906,1.13189,0.91559,0.85479,0.94554,0.74771,0.77346,0.68152,1.01935,0.000177082,0.000177082,0.000177082
